,realisiert von,
Aufgaben,Kevin Schie,Stefan Suermann
Implementierung,,
Server,,
native App,,
Webapp,,
Messeprototyp,,
,,
Dokumentation,,
Einleitung,,
Problemanalyse,,
Grundlagen,,
Architektur,,
Aspekte der Realisierung,,
Realisierung der serverseitigen Implementierung,,
Relisierung der clientseitigen Implementierung als native App,,
Relisierung der clientseitigen Implementierung als Webapplikation,,
Gegen{\"u}berstellung der clientseitigen Implementierung,,
Weiterentwicklung eines Clients zu einem Messeprototyp,,
Fazit,,
Pflichtenheft,,
Cache Post,,
User-Story in der nativen App,,
Funktionsumfang,,
